year,month,day,hour,min,wind dir,wind speed,temp,lat,lon,current dir,current speed
2010,1,15,2,44,130.0,12.4,,28.118,-93.67,,
2010,1,15,2,59,130.0,11.8,,28.118,-93.67,,
2010,1,15,3,14,130.0,12.9,,28.118,-93.67,,
2010,1,15,3,29,120.0,11.3,,28.118,-93.67,,
2010,1,15,3,44,120.0,11.3,,28.118,-93.67,,
2010,1,15,3,59,120.0,11.8,,28.118,-93.67,,
2010,1,15,4,14,120.0,10.3,,28.118,-93.67,,
2010,1,15,4,29,120.0,11.3,,28.118,-93.67,,
2010,1,15,4,44,120.0,11.8,,28.118,-93.67,,
2010,1,15,4,59,120.0,12.9,,28.118,-93.67,,
2010,1,15,5,14,130.0,12.9,,28.118,-93.67,,
2010,1,15,5,29,120.0,11.8,,28.118,-93.67,,
2010,1,15,5,44,110.0,12.9,,28.118,-93.67,,
2010,1,15,5,59,120.0,11.8,,28.118,-93.67,,
2010,1,15,6,14,110.0,12.4,,28.118,-93.67,,
2010,1,15,6,29,110.0,11.8,,28.118,-93.67,,
2010,1,15,6,44,120.0,13.4,,28.118,-93.67,,
2010,1,15,6,59,130.0,12.4,,28.118,-93.67,,
2010,1,15,7,14,130.0,13.9,,28.118,-93.67,,
2010,1,15,7,29,130.0,12.9,,28.118,-93.67,,
2010,1,15,7,44,120.0,12.4,,28.118,-93.67,,
2010,1,15,7,59,130.0,11.8,,28.118,-93.67,,
2010,1,15,8,14,120.0,12.4,,28.118,-93.67,,
2010,1,15,8,29,120.0,12.9,,28.118,-93.67,,
2010,1,15,8,44,120.0,12.9,,28.118,-93.67,,
2010,1,15,8,59,120.0,13.4,,28.118,-93.67,,
2010,1,15,9,14,120.0,13.4,,28.118,-93.67,,
2010,1,15,9,29,120.0,14.9,,28.118,-93.67,,
2010,1,15,9,44,130.0,13.4,,28.118,-93.67,,
2010,1,15,9,59,120.0,14.4,,28.118,-93.67,,
2010,1,15,10,14,120.0,13.9,,28.118,-93.67,,
