year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed
2010,3,5,16,30,228.0,0.3229999999999999,27.939,96.843,,
2010,3,5,17,0,231.0,0.32,27.939,96.843,,
2010,3,5,17,30,232.0,0.322,27.939,96.843,,
2010,3,5,18,0,231.0,0.308,27.939,96.843,,
2010,3,5,18,30,231.0,0.314,27.939,96.843,,
2010,3,5,19,0,229.0,0.294,27.939,96.843,,
2010,3,5,19,30,225.0,0.29,27.939,96.843,,
2010,3,5,20,0,225.0,0.316,27.939,96.843,,
2010,3,5,20,30,219.0,0.344,27.939,96.843,,
2010,3,5,21,0,215.0,0.352,27.939,96.843,,
2010,3,5,21,30,212.0,0.325,27.939,96.843,,
2010,3,5,22,0,210.0,0.286,27.939,96.843,,
2010,3,5,22,30,214.0,0.236,27.939,96.843,,
2010,3,5,23,0,223.0,0.288,27.939,96.843,,
2010,3,5,23,30,225.0,0.309,27.939,96.843,,
2010,3,6,0,0,228.0,0.252,27.939,96.843,,
2010,3,6,0,30,234.0,0.258,27.939,96.843,,
2010,3,6,1,0,244.0,0.455,27.939,96.843,,
2010,3,6,1,30,237.0,0.417,27.939,96.843,,
2010,3,6,2,0,241.0,0.381,27.939,96.843,,
2010,3,6,2,30,238.0,0.38,27.939,96.843,,
2010,3,6,3,0,238.0,0.366,27.939,96.843,,
2010,3,6,3,30,240.0,0.308,27.939,96.843,,
2010,3,6,4,0,243.0,0.315,27.939,96.843,,
2010,3,6,16,30,232.0,0.251,27.939,96.843,,
2010,3,6,17,0,236.0,0.34,27.939,96.843,,
2010,3,6,17,30,236.0,0.34,27.939,96.843,,
2010,3,6,18,0,233.0,0.37,27.939,96.843,,
2010,3,6,18,30,239.0,0.41,27.939,96.843,,
2010,3,6,19,0,239.0,0.4,27.939,96.843,,
2010,3,6,19,30,245.0,0.41,27.939,96.843,,
2010,3,6,20,0,248.0,0.4,27.939,96.843,,
2010,3,6,20,30,249.0,0.4,27.939,96.843,,
2010,3,6,21,0,249.0,0.38,27.939,96.843,,
2010,3,6,21,30,243.0,0.38,27.939,96.843,,
2010,3,6,22,0,243.0,0.4,27.939,96.843,,
2010,3,6,22,30,240.0,0.34,27.939,96.843,,
2010,3,6,23,0,248.0,0.33,27.939,96.843,,
2010,3,6,23,30,239.0,0.33,27.939,96.843,,
2010,3,7,0,0,237.0,0.35,27.939,96.843,,
2010,3,7,4,30,225.0,0.315,27.939,96.843,,
2010,3,7,5,0,223.0,0.302,27.939,96.843,,
2010,3,7,5,30,227.0,0.325,27.939,96.843,,
2010,3,7,6,0,229.0,0.269,27.939,96.843,,
2010,3,7,6,30,220.0,0.263,27.939,96.843,,
2010,3,7,7,0,228.0,0.243,27.939,96.843,,
2010,3,7,7,30,223.0,0.272,27.939,96.843,,
2010,3,7,8,0,221.0,0.295,27.939,96.843,,
2010,3,7,8,30,223.0,0.314,27.939,96.843,,
2010,3,7,9,0,224.0,0.302,27.939,96.843,,
2010,3,7,9,30,221.0,0.3,27.939,96.843,,
2010,3,7,10,0,226.0,0.327,27.939,96.843,,
2010,3,7,10,30,228.0,0.325,27.939,96.843,,
2010,3,7,11,0,225.0,0.31,27.939,96.843,,
2010,3,7,11,30,227.0,0.309,27.939,96.843,,
2010,3,7,12,0,231.0,0.321,27.939,96.843,,
2010,3,7,12,30,229.0,0.313,27.939,96.843,,
2010,3,7,13,0,219.0,0.349,27.939,96.843,,
2010,3,7,13,30,218.0,0.386,27.939,96.843,,
2010,3,7,14,0,215.0,0.382,27.939,96.843,,
2010,3,7,14,30,216.0,0.445,27.939,96.843,,
2010,3,7,15,0,212.0,0.467,27.939,96.843,,
2010,3,7,15,30,208.0,0.518,27.939,96.843,,
2010,3,7,16,0,210.0,0.5700000000000001,27.939,96.843,,
2010,3,7,16,30,206.0,0.594,27.939,96.843,,
2010,3,7,17,0,213.0,0.632,27.939,96.843,,
2010,3,7,17,30,211.0,0.645,27.939,96.843,,
2010,3,7,18,0,212.0,0.7220000000000001,27.939,96.843,,
2010,3,7,18,30,210.0,0.7290000000000001,27.939,96.843,,
2010,3,7,19,0,213.0,0.755,27.939,96.843,,
2010,3,7,19,30,215.0,0.7170000000000001,27.939,96.843,,
2010,3,7,20,0,215.0,0.7440000000000001,27.939,96.843,,
2010,3,7,20,30,217.0,0.705,27.939,96.843,,
2010,3,7,21,0,218.0,0.763,27.939,96.843,,
2010,3,7,21,30,226.0,0.606,27.939,96.843,,
2010,3,7,22,0,230.0,0.5,27.939,96.843,,
2010,3,7,22,30,233.0,0.5710000000000001,27.939,96.843,,
2010,3,7,23,0,238.0,0.6950000000000001,27.939,96.843,,
2010,3,8,0,30,226.0,0.6950000000000001,27.939,96.843,,
2010,3,8,1,0,226.0,0.562,27.939,96.843,,
2010,3,8,1,30,227.0,0.545,27.939,96.843,,
2010,3,8,2,0,229.0,0.534,27.939,96.843,,
2010,3,8,2,30,249.0,0.396,27.939,96.843,,
2010,3,8,3,0,278.0,0.329,27.939,96.843,,
2010,3,8,3,30,248.0,0.501,27.939,96.843,,
2010,3,8,4,0,249.0,0.499,27.939,96.843,,
2010,3,8,4,30,246.0,0.515,27.939,96.843,,
2010,3,8,5,0,244.0,0.445,27.939,96.843,,
2010,3,8,5,30,242.0,0.42,27.939,96.843,,
2010,3,8,6,0,247.0,0.43,27.939,96.843,,
2010,3,8,6,30,246.0,0.434,27.939,96.843,,
2010,3,8,7,0,246.0,0.409,27.939,96.843,,
2010,3,8,7,30,242.0,0.424,27.939,96.843,,
2010,3,8,8,0,238.0,0.411,27.939,96.843,,
2010,3,8,8,30,241.0,0.414,27.939,96.843,,
2010,3,8,9,0,225.0,0.402,27.939,96.843,,
2010,3,8,9,30,222.0,0.378,27.939,96.843,,
2010,3,8,10,0,227.0,0.3879999999999999,27.939,96.843,,
2010,3,8,10,30,210.0,0.354,27.939,96.843,,
2010,3,8,11,0,222.0,0.342,27.939,96.843,,
2010,3,8,11,30,228.0,0.36,27.939,96.843,,
2010,3,8,12,0,234.0,0.361,27.939,96.843,,
2010,3,8,12,30,236.0,0.359,27.939,96.843,,
2010,3,8,13,0,224.0,0.35,27.939,96.843,,
2010,3,8,13,30,226.0,0.332,27.939,96.843,,
2010,3,8,14,0,217.0,0.347,27.939,96.843,,
2010,3,8,14,30,218.0,0.314,27.939,96.843,,
2010,3,8,15,0,216.0,0.313,27.939,96.843,,
2010,3,8,15,30,209.0,0.316,27.939,96.843,,
2010,3,8,16,0,210.0,0.3279999999999999,27.939,96.843,,
2010,3,8,16,30,200.0,0.318,27.939,96.843,,
2010,3,8,17,0,197.0,0.356,27.939,96.843,,
2010,3,8,17,30,203.0,0.306,27.939,96.843,,
2010,3,8,18,0,220.0,0.273,27.939,96.843,,
2010,3,8,18,30,230.0,0.222,27.939,96.843,,
2010,3,8,19,0,248.0,0.245,27.939,96.843,,
2010,3,8,19,30,251.0,0.191,27.939,96.843,,
2010,3,8,20,0,247.0,0.195,27.939,96.843,,
2010,3,8,20,30,255.0,0.198,27.939,96.843,,
2010,3,8,21,0,259.0,0.285,27.939,96.843,,
2010,3,8,21,30,270.0,0.324,27.939,96.843,,
2010,3,8,22,0,276.0,0.384,27.939,96.843,,
2010,3,8,22,30,260.0,0.35,27.939,96.843,,
2010,3,8,23,0,256.0,0.3229999999999999,27.939,96.843,,
2010,3,8,23,30,249.0,0.271,27.939,96.843,,
2010,3,9,0,0,242.0,0.243,27.939,96.843,,
2010,3,9,0,30,248.0,0.238,27.939,96.843,,
2010,3,9,1,0,245.0,0.261,27.939,96.843,,
2010,3,9,1,30,253.0,0.2789999999999999,27.939,96.843,,
2010,3,9,2,0,251.0,0.23,27.939,96.843,,
2010,3,9,2,30,246.0,0.238,27.939,96.843,,
2010,3,9,3,0,241.0,0.22,27.939,96.843,,
2010,3,9,3,30,235.0,0.225,27.939,96.843,,
2010,3,9,4,0,242.0,0.211,27.939,96.843,,
2010,3,9,4,30,250.0,0.256,27.939,96.843,,
2010,3,9,5,0,247.0,0.209,27.939,96.843,,
2010,3,9,5,30,258.0,0.2019999999999999,27.939,96.843,,
2010,3,9,6,0,254.0,0.221,27.939,96.843,,
2010,3,9,6,30,247.0,0.245,27.939,96.843,,
2010,3,9,8,30,245.0,0.227,27.939,96.843,,
2010,3,9,9,0,235.0,0.214,27.939,96.843,,
2010,3,9,9,30,222.0,0.218,27.939,96.843,,
2010,3,9,10,0,211.0,0.266,27.939,96.843,,
2010,3,9,10,30,235.0,0.243,27.939,96.843,,
2010,3,9,11,0,219.0,0.2319999999999999,27.939,96.843,,
2010,3,9,11,30,214.0,0.372,27.939,96.843,,
2010,3,9,12,0,221.0,0.332,27.939,96.843,,
2010,3,9,12,30,208.0,0.354,27.939,96.843,,
2010,3,9,13,0,225.0,0.219,27.939,96.843,,
2010,3,9,13,30,218.0,0.182,27.939,96.843,,
2010,3,9,14,0,262.0,0.233,27.939,96.843,,
