year,month,day,hour,min,wind dir,wind speed,lat,lon
2010,6,19,5,50,88.0,6.3,22.14,94.112
2010,6,19,6,50,97.0,6.6,22.14,94.112
2010,6,19,7,50,107.0,7.4,22.14,94.112
2010,6,19,8,50,108.0,8.5,22.14,94.112
2010,6,19,9,50,107.0,6.4,22.14,94.112
2010,6,19,10,50,,6.4,22.14,94.112
2010,6,19,11,50,93.0,5.9,22.14,94.112
2010,6,19,12,50,98.0,5.4,22.14,94.112
2010,6,19,13,50,89.0,5.5,22.14,94.112
2010,6,19,14,50,82.0,5.9,22.14,94.112
2010,6,19,15,50,90.0,6.3,22.14,94.112
2010,6,19,16,50,89.0,6.4,22.14,94.112
2010,6,19,17,50,92.0,5.9,22.14,94.112
2010,6,19,18,50,81.0,5.6,22.14,94.112
2010,6,19,19,50,94.0,5.6,22.14,94.112
2010,6,19,20,50,92.0,5.7,22.14,94.112
2010,6,19,21,50,100.0,5.9,22.14,94.112
2010,6,19,22,50,98.0,5.8,22.14,94.112
2010,6,19,23,50,95.0,5.3,22.14,94.112
2010,6,20,0,50,89.0,5.6,22.14,94.112
2010,6,20,1,50,79.0,5.6,22.14,94.112
2010,6,20,2,50,74.0,6.5,22.14,94.112
2010,6,20,3,50,80.0,6.6,22.14,94.112
