year,month,day,hour,min,wind dir,wind speed,lat,lon,current dir,current speed
2010,1,10,2,50,344.0,8.2,28.787,86.007,,
2010,1,10,3,50,354.0,8.6,28.787,86.007,,
2010,1,10,4,50,356.0,9.0,28.787,86.007,,
2010,1,10,5,50,358.0,9.9,28.787,86.007,,
2010,1,10,6,50,349.0,9.9,28.787,86.007,,
2010,1,10,7,50,344.0,10.3,28.787,86.007,,
2010,1,10,8,50,346.0,10.4,28.787,86.007,,
2010,1,10,9,50,354.0,9.7,28.787,86.007,,
2010,1,10,10,50,352.0,9.9,28.787,86.007,,
2010,1,10,11,50,351.0,9.9,28.787,86.007,,
2010,1,10,12,50,347.0,10.5,28.787,86.007,,
2010,1,10,13,50,350.0,9.8,28.787,86.007,,
2010,1,10,14,50,356.0,10.0,28.787,86.007,,
2010,1,10,15,50,352.0,10.0,28.787,86.007,,
2010,1,10,16,50,354.0,10.1,28.787,86.007,,
2010,1,10,17,50,348.0,9.8,28.787,86.007,,
2010,1,10,18,50,345.0,9.7,28.787,86.007,,
2010,1,10,19,50,342.0,10.3,28.787,86.007,,
2010,1,10,20,50,337.0,9.1,28.787,86.007,,
2010,1,10,21,50,341.0,9.9,28.787,86.007,,
2010,1,10,22,50,345.0,9.2,28.787,86.007,,
2010,1,10,23,50,344.0,9.5,28.787,86.007,,
2010,1,11,0,50,1.0,8.2,28.787,86.007,,
2010,1,11,1,50,345.0,7.7,28.787,86.007,,
2010,1,11,2,50,346.0,7.2,28.787,86.007,,
2010,1,11,3,50,5.0,6.5,28.787,86.007,,
2010,1,11,4,50,358.0,7.8,28.787,86.007,,
2010,1,11,5,50,359.0,7.3,28.787,86.007,,
2010,1,11,6,50,15.0,7.0,28.787,86.007,,
2010,1,11,7,50,7.0,6.5,28.787,86.007,,
2010,1,11,8,50,14.0,6.5,28.787,86.007,,
2010,1,11,9,50,352.0,5.1,28.787,86.007,,
2010,1,11,10,50,353.0,3.1,28.787,86.007,,
2010,1,11,11,50,19.0,3.4,28.787,86.007,,
2010,1,11,12,50,353.0,2.7,28.787,86.007,,
2010,1,11,13,50,5.0,3.4,28.787,86.007,,
2010,1,11,14,50,29.0,2.2,28.787,86.007,,
2010,1,11,15,50,9.0,2.6,28.787,86.007,,
2010,1,11,16,50,360.0,2.6,28.787,86.007,,
2010,1,11,17,50,300.0,2.1,28.787,86.007,,
2010,1,11,18,50,347.0,2.8,28.787,86.007,,
2010,1,11,19,50,322.0,3.7,28.787,86.007,,
2010,1,11,20,50,318.0,3.3,28.787,86.007,,
2010,1,11,21,50,332.0,3.9,28.787,86.007,,
2010,1,11,22,50,309.0,5.0,28.787,86.007,,
2010,1,11,23,50,288.0,3.7,28.787,86.007,,
2010,1,12,0,50,270.0,4.3,28.787,86.007,,
2010,1,12,1,50,291.0,4.8,28.787,86.007,,
2010,1,12,2,50,281.0,5.3,28.787,86.007,,
2010,1,12,3,50,282.0,5.6,28.787,86.007,,
2010,1,12,4,50,275.0,5.8,28.787,86.007,,
2010,1,12,5,50,271.0,7.4,28.787,86.007,,
2010,1,12,6,50,273.0,7.6,28.787,86.007,,
