year,month,day,hour,min,current dir,current speed,wind dir,wind speed,lat,lon
2010,1,13,14,40,,,,,27.173,82.924
2010,1,13,15,0,,,,,27.173,82.924
2010,1,13,15,20,,,,,27.173,82.924
2010,1,13,15,40,,,,,27.173,82.924
2010,1,13,16,0,,,,,27.173,82.924
2010,1,13,16,20,,,,,27.173,82.924
2010,1,13,16,40,,,,,27.173,82.924
2010,1,13,17,0,,,,,27.173,82.924
2010,1,13,17,20,,,,,27.173,82.924
2010,1,13,17,40,,,,,27.173,82.924
2010,1,13,18,0,,,,,27.173,82.924
2010,1,13,18,20,,,,,27.173,82.924
2010,1,13,18,40,,,,,27.173,82.924
2010,1,13,19,0,,,,,27.173,82.924
2010,1,13,19,20,,,,,27.173,82.924
2010,1,13,19,40,,,,,27.173,82.924
2010,1,13,20,0,,,,,27.173,82.924
2010,1,13,20,20,,,,,27.173,82.924
2010,1,13,20,40,,,,,27.173,82.924
2010,1,13,21,0,,,,,27.173,82.924
2010,1,13,21,20,,,,,27.173,82.924
2010,1,13,21,40,,,,,27.173,82.924
2010,1,13,22,0,,,,,27.173,82.924
2010,1,13,22,20,,,,,27.173,82.924
2010,1,13,22,40,,,,,27.173,82.924
2010,1,13,23,0,,,,,27.173,82.924
2010,1,13,23,20,,,,,27.173,82.924
2010,1,13,23,40,,,,,27.173,82.924
2010,1,14,0,0,,,,,27.173,82.924
2010,1,14,0,20,,,,,27.173,82.924
2010,1,14,0,40,,,,,27.173,82.924
2010,1,14,1,0,,,,,27.173,82.924
2010,1,14,1,20,,,,,27.173,82.924
2010,1,14,1,40,,,,,27.173,82.924
2010,1,14,2,0,,,,,27.173,82.924
2010,1,14,2,20,,,,,27.173,82.924
2010,1,14,2,40,,,,,27.173,82.924
2010,1,14,3,0,,,,,27.173,82.924
2010,1,14,3,20,,,,,27.173,82.924
2010,1,14,3,40,,,,,27.173,82.924
2010,1,14,4,0,,,,,27.173,82.924
2010,1,14,4,20,,,,,27.173,82.924
2010,1,14,4,40,,,,,27.173,82.924
2010,1,14,5,0,,,,,27.173,82.924
2010,1,14,5,20,,,,,27.173,82.924
2010,1,14,5,40,,,,,27.173,82.924
2010,1,14,6,0,,,,,27.173,82.924
2010,1,14,6,20,,,,,27.173,82.924
2010,1,14,6,40,,,,,27.173,82.924
2010,1,14,7,0,,,,,27.173,82.924
2010,1,14,7,20,,,,,27.173,82.924
2010,1,14,7,40,,,,,27.173,82.924
2010,1,14,8,0,,,,,27.173,82.924
2010,1,14,8,20,,,,,27.173,82.924
2010,1,14,8,40,,,,,27.173,82.924
2010,1,14,9,0,,,,,27.173,82.924
2010,1,14,9,20,,,,,27.173,82.924
2010,1,14,9,40,,,,,27.173,82.924
2010,1,14,10,0,,,,,27.173,82.924
2010,1,14,10,20,,,,,27.173,82.924
2010,1,14,10,40,,,,,27.173,82.924
2010,1,14,11,0,,,,,27.173,82.924
2010,1,14,11,20,,,,,27.173,82.924
2010,1,14,11,40,,,,,27.173,82.924
2010,1,14,12,0,,,,,27.173,82.924
2010,1,14,12,20,,,,,27.173,82.924
2010,1,14,12,40,,,,,27.173,82.924
2010,1,14,13,0,,,,,27.173,82.924
2010,1,14,13,20,,,,,27.173,82.924
2010,1,14,13,40,,,,,27.173,82.924
2010,1,14,14,0,,,,,27.173,82.924
2010,1,14,14,20,,,,,27.173,82.924
2010,1,14,14,40,,,,,27.173,82.924
2010,1,14,15,0,,,,,27.173,82.924
2010,1,14,15,20,,,,,27.173,82.924
2010,1,14,15,40,,,,,27.173,82.924
2010,1,14,16,0,,,,,27.173,82.924
2010,1,14,16,20,,,,,27.173,82.924
2010,1,14,16,40,,,,,27.173,82.924
2010,1,14,17,0,,,,,27.173,82.924
2010,1,14,17,20,,,,,27.173,82.924
2010,1,14,17,40,,,,,27.173,82.924
2010,1,14,18,0,,,,,27.173,82.924
2010,1,14,18,20,,,,,27.173,82.924
2010,1,14,18,40,,,,,27.173,82.924
2010,1,14,19,0,,,,,27.173,82.924
2010,1,14,19,20,,,,,27.173,82.924
2010,1,14,19,40,,,,,27.173,82.924
2010,1,14,20,0,,,,,27.173,82.924
2010,1,14,20,20,,,,,27.173,82.924
2010,1,14,20,40,,,,,27.173,82.924
2010,1,14,21,0,,,,,27.173,82.924
2010,1,14,21,20,,,,,27.173,82.924
2010,1,14,21,40,,,,,27.173,82.924
2010,1,14,22,0,,,,,27.173,82.924
2010,1,14,22,20,,,,,27.173,82.924
2010,1,14,22,40,,,,,27.173,82.924
2010,1,14,23,0,,,,,27.173,82.924
2010,1,14,23,20,,,,,27.173,82.924
2010,1,14,23,40,,,,,27.173,82.924
2010,1,15,0,0,,,,,27.173,82.924
2010,1,15,0,20,,,,,27.173,82.924
2010,1,15,0,40,,,,,27.173,82.924
2010,1,15,1,0,,,,,27.173,82.924
2010,1,15,1,20,,,,,27.173,82.924
2010,1,15,1,40,,,,,27.173,82.924
2010,1,15,2,0,,,,,27.173,82.924
2010,1,15,2,20,,,,,27.173,82.924
2010,1,15,2,40,,,,,27.173,82.924
2010,1,15,3,0,,,,,27.173,82.924
2010,1,15,3,20,,,,,27.173,82.924
2010,1,15,3,40,,,,,27.173,82.924
2010,1,15,4,0,,,,,27.173,82.924
2010,1,15,4,20,,,,,27.173,82.924
2010,1,15,4,40,,,,,27.173,82.924
2010,1,15,5,0,,,,,27.173,82.924
2010,1,15,5,20,,,,,27.173,82.924
2010,1,15,5,40,,,,,27.173,82.924
2010,1,15,6,0,,,,,27.173,82.924
2010,1,15,6,20,,,,,27.173,82.924
2010,1,15,6,40,,,,,27.173,82.924
2010,1,15,7,0,,,,,27.173,82.924
2010,1,15,7,20,,,,,27.173,82.924
2010,1,15,7,40,,,,,27.173,82.924
2010,1,15,8,0,,,,,27.173,82.924
2010,1,15,8,20,,,,,27.173,82.924
2010,1,15,8,40,,,,,27.173,82.924
