year,month,day,hour,min,current dir,current speed,lat,lon,wind dir,wind speed,temp
2010,3,8,16,0,289.0,0.098,28.842,94.242,,,
2010,3,8,16,30,277.0,0.1169999999999999,28.842,94.242,,,
2010,3,8,17,0,271.0,0.1119999999999999,28.842,94.242,,,
2010,3,8,17,30,258.0,0.111,28.842,94.242,,,
2010,3,8,18,0,256.0,0.185,28.842,94.242,,,
2010,3,8,18,30,259.0,0.203,28.842,94.242,,,
2010,3,8,19,0,247.0,0.189,28.842,94.242,,,
2010,3,8,22,30,222.0,0.069,28.842,94.242,,,
2010,3,8,23,0,293.0,0.079,28.842,94.242,,,
2010,3,8,23,30,314.0,0.111,28.842,94.242,,,
2010,3,9,0,0,299.0,0.176,28.842,94.242,,,
2010,3,9,0,30,316.0,0.187,28.842,94.242,,,
2010,3,9,1,0,327.0,0.171,28.842,94.242,,,
2010,3,9,1,30,316.0,0.124,28.842,94.242,,,
2010,3,9,2,0,309.0,0.147,28.842,94.242,,,
2010,3,9,2,30,308.0,0.149,28.842,94.242,,,
2010,3,9,3,0,282.0,0.13,28.842,94.242,,,
2010,3,9,3,30,283.0,0.096,28.842,94.242,,,
2010,3,9,4,0,256.0,0.173,28.842,94.242,,,
2010,3,9,4,30,240.0,0.2239999999999999,28.842,94.242,,,
2010,3,9,5,0,238.0,0.283,28.842,94.242,,,
2010,3,9,5,30,233.0,0.447,28.842,94.242,,,
2010,3,9,6,0,234.0,0.445,28.842,94.242,,,
2010,3,9,6,30,235.0,0.457,28.842,94.242,,,
2010,3,9,7,0,230.0,0.491,28.842,94.242,,,
2010,3,9,7,30,230.0,0.512,28.842,94.242,,,
2010,3,9,8,0,226.0,0.578,28.842,94.242,,,
2010,3,9,8,30,222.0,0.555,28.842,94.242,,,
2010,3,9,9,0,215.0,0.606,28.842,94.242,,,
2010,3,9,9,30,213.0,0.631,28.842,94.242,,,
2010,3,9,10,0,212.0,0.594,28.842,94.242,,,
2010,3,9,10,30,218.0,0.596,28.842,94.242,,,
2010,3,9,11,0,219.0,0.6,28.842,94.242,,,
2010,3,9,11,30,216.0,0.583,28.842,94.242,,,
2010,3,9,12,0,220.0,0.5660000000000001,28.842,94.242,,,
2010,3,9,12,30,222.0,0.5,28.842,94.242,,,
2010,3,9,13,0,225.0,0.322,28.842,94.242,,,
2010,3,9,13,30,230.0,0.191,28.842,94.242,,,
2010,3,9,14,0,258.0,0.181,28.842,94.242,,,
2010,3,9,14,30,295.0,0.118,28.842,94.242,,,
2010,3,9,15,0,295.0,0.11,28.842,94.242,,,
2010,3,9,15,30,324.0,0.139,28.842,94.242,,,
2010,3,9,16,0,304.0,0.12,28.842,94.242,,,
2010,3,9,16,30,330.0,0.118,28.842,94.242,,,
2010,3,9,17,0,312.0,0.113,28.842,94.242,,,
2010,3,9,17,30,343.0,0.087,28.842,94.242,,,
2010,3,9,18,0,326.0,0.077,28.842,94.242,,,
2010,3,9,18,30,335.0,0.083,28.842,94.242,,,
2010,3,9,19,0,30.0,0.038,28.842,94.242,,,
2010,3,9,19,30,46.0,0.04,28.842,94.242,,,
2010,3,9,20,0,103.0,0.069,28.842,94.242,,,
2010,3,9,20,30,112.0,0.105,28.842,94.242,,,
2010,3,9,21,0,127.0,0.111,28.842,94.242,,,
2010,3,9,21,30,129.0,0.11,28.842,94.242,,,
2010,3,9,22,0,126.0,0.108,28.842,94.242,,,
2010,3,9,22,30,140.0,0.103,28.842,94.242,,,
2010,3,9,23,0,165.0,0.121,28.842,94.242,,,
2010,3,9,23,30,172.0,0.108,28.842,94.242,,,
2010,3,10,0,0,153.0,0.163,28.842,94.242,,,
2010,3,10,0,30,167.0,0.122,28.842,94.242,,,
2010,3,10,1,0,169.0,0.14,28.842,94.242,,,
2010,3,10,1,30,182.0,0.136,28.842,94.242,,,
2010,3,10,2,0,182.0,0.188,28.842,94.242,,,
2010,3,10,2,30,192.0,0.1639999999999999,28.842,94.242,,,
2010,3,10,3,0,190.0,0.198,28.842,94.242,,,
2010,3,10,18,30,326.0,0.085,28.842,94.242,,,
2010,3,10,19,0,338.0,0.143,28.842,94.242,,,
2010,3,10,19,30,356.0,0.158,28.842,94.242,,,
2010,3,10,20,0,8.0,0.143,28.842,94.242,,,
2010,3,10,20,30,11.0,0.153,28.842,94.242,,,
2010,3,10,21,0,30.0,0.125,28.842,94.242,,,
2010,3,10,21,30,30.0,0.0819999999999999,28.842,94.242,,,
2010,3,10,22,0,48.0,0.08,28.842,94.242,,,
2010,3,10,22,30,29.0,0.0579999999999999,28.842,94.242,,,
2010,3,10,23,0,57.0,0.067,28.842,94.242,,,
2010,3,10,23,30,157.0,0.05,28.842,94.242,,,
2010,3,11,0,0,208.0,0.018,28.842,94.242,,,
2010,3,11,0,30,268.0,0.03,28.842,94.242,,,
2010,3,11,1,0,14.0,0.027,28.842,94.242,,,
2010,3,11,3,30,82.0,0.013,28.842,94.242,,,
2010,3,11,4,0,345.0,0.005,28.842,94.242,,,
2010,3,11,4,30,272.0,0.022,28.842,94.242,,,
2010,3,11,5,0,251.0,0.04,28.842,94.242,,,
2010,3,11,5,30,297.0,0.03,28.842,94.242,,,
2010,3,11,6,0,257.0,0.0579999999999999,28.842,94.242,,,
2010,3,11,6,30,254.0,0.081,28.842,94.242,,,
2010,3,11,7,0,248.0,0.123,28.842,94.242,,,
2010,3,11,7,30,251.0,0.111,28.842,94.242,,,
2010,3,11,8,0,252.0,0.118,28.842,94.242,,,
2010,3,11,8,30,231.0,0.158,28.842,94.242,,,
2010,3,11,9,0,252.0,0.225,28.842,94.242,,,
2010,3,11,9,30,263.0,0.192,28.842,94.242,,,
2010,3,11,10,0,269.0,0.208,28.842,94.242,,,
2010,3,11,10,30,290.0,0.193,28.842,94.242,,,
2010,3,11,11,0,289.0,0.208,28.842,94.242,,,
2010,3,11,11,30,299.0,0.221,28.842,94.242,,,
2010,3,11,12,0,314.0,0.251,28.842,94.242,,,
2010,3,11,12,30,323.0,0.225,28.842,94.242,,,
2010,3,11,13,0,317.0,0.23,28.842,94.242,,,
2010,3,11,13,30,323.0,0.221,28.842,94.242,,,
2010,3,11,14,0,311.0,0.201,28.842,94.242,,,
2010,3,11,14,30,304.0,0.209,28.842,94.242,,,
2010,3,11,15,0,295.0,0.21,28.842,94.242,,,
2010,3,11,15,30,302.0,0.215,28.842,94.242,,,
2010,3,11,16,0,290.0,0.246,28.842,94.242,,,
2010,3,11,16,30,293.0,0.258,28.842,94.242,,,
2010,3,11,17,0,296.0,0.27,28.842,94.242,,,
2010,3,11,17,30,292.0,0.281,28.842,94.242,,,
2010,3,11,18,0,291.0,0.27,28.842,94.242,,,
2010,3,11,18,30,287.0,0.273,28.842,94.242,,,
2010,3,11,19,0,285.0,0.253,28.842,94.242,,,
2010,3,11,19,30,275.0,0.29,28.842,94.242,,,
2010,3,11,20,0,265.0,0.289,28.842,94.242,,,
2010,3,11,20,30,267.0,0.287,28.842,94.242,,,
2010,3,11,21,0,262.0,0.299,28.842,94.242,,,
2010,3,11,21,30,265.0,0.312,28.842,94.242,,,
2010,3,11,22,0,265.0,0.307,28.842,94.242,,,
2010,3,11,22,30,270.0,0.326,28.842,94.242,,,
2010,3,11,23,0,268.0,0.358,28.842,94.242,,,
2010,3,11,23,30,271.0,0.357,28.842,94.242,,,
2010,3,12,0,0,270.0,0.4039999999999999,28.842,94.242,,,
2010,3,12,0,30,271.0,0.416,28.842,94.242,,,
2010,3,12,1,0,275.0,0.456,28.842,94.242,,,
2010,3,12,1,30,280.0,0.47,28.842,94.242,,,
2010,3,12,2,0,281.0,0.397,28.842,94.242,,,
2010,3,12,2,30,282.0,0.3979999999999999,28.842,94.242,,,
2010,3,12,3,0,284.0,0.379,28.842,94.242,,,
2010,3,12,3,30,282.0,0.358,28.842,94.242,,,
2010,3,12,4,0,274.0,0.299,28.842,94.242,,,
2010,3,12,4,30,284.0,0.314,28.842,94.242,,,
2010,3,12,5,0,279.0,0.294,28.842,94.242,,,
2010,3,12,5,30,265.0,0.251,28.842,94.242,,,
2010,3,12,6,0,260.0,0.27,28.842,94.242,,,
2010,3,12,6,30,251.0,0.294,28.842,94.242,,,
2010,3,12,7,0,252.0,0.291,28.842,94.242,,,
2010,3,12,7,30,243.0,0.308,28.842,94.242,,,
2010,3,12,8,0,240.0,0.32,28.842,94.242,,,
2010,3,12,8,30,233.0,0.316,28.842,94.242,,,
2010,3,12,9,0,228.0,0.311,28.842,94.242,,,
2010,3,12,9,30,232.0,0.29,28.842,94.242,,,
2010,3,12,10,0,232.0,0.283,28.842,94.242,,,
2010,3,12,10,30,235.0,0.2739999999999999,28.842,94.242,,,
2010,3,12,11,0,232.0,0.262,28.842,94.242,,,
2010,3,12,11,30,237.0,0.268,28.842,94.242,,,
2010,3,12,12,0,232.0,0.28,28.842,94.242,,,
2010,3,12,12,30,225.0,0.245,28.842,94.242,,,
2010,3,12,13,0,212.0,0.259,28.842,94.242,,,
2010,3,12,13,30,211.0,0.293,28.842,94.242,,,
2010,3,12,14,0,213.0,0.298,28.842,94.242,,,
2010,3,12,14,30,219.0,0.289,28.842,94.242,,,
2010,3,12,15,0,223.0,0.302,28.842,94.242,,,
2010,3,12,15,30,222.0,0.271,28.842,94.242,,,
2010,3,12,16,0,217.0,0.26,28.842,94.242,,,
2010,3,12,16,30,222.0,0.277,28.842,94.242,,,
2010,3,12,17,0,221.0,0.282,28.842,94.242,,,
2010,3,12,17,30,214.0,0.308,28.842,94.242,,,
2010,3,12,18,0,213.0,0.303,28.842,94.242,,,
2010,3,12,18,30,215.0,0.23,28.842,94.242,,,
2010,3,12,19,0,214.0,0.221,28.842,94.242,,,
2010,3,12,19,30,198.0,0.209,28.842,94.242,,,
2010,3,12,20,0,197.0,0.132,28.842,94.242,,,
2010,3,12,21,30,201.0,0.207,28.842,94.242,,,
2010,3,12,22,0,198.0,0.178,28.842,94.242,,,
2010,3,12,22,30,198.0,0.144,28.842,94.242,,,
2010,3,12,23,0,186.0,0.14,28.842,94.242,,,
2010,3,12,23,30,183.0,0.155,28.842,94.242,,,
2010,3,13,0,0,178.0,0.197,28.842,94.242,,,
2010,3,13,0,30,183.0,0.185,28.842,94.242,,,
2010,3,13,1,0,185.0,0.107,28.842,94.242,,,
2010,3,13,1,30,179.0,0.0819999999999999,28.842,94.242,,,
2010,3,13,2,0,140.0,0.035,28.842,94.242,,,
2010,3,13,2,30,123.0,0.053,28.842,94.242,,,
2010,3,13,3,0,199.0,0.042,28.842,94.242,,,
2010,3,13,3,30,98.0,0.0279999999999999,28.842,94.242,,,
2010,3,13,4,0,147.0,0.018,28.842,94.242,,,
2010,3,13,5,30,86.0,0.017,28.842,94.242,,,
2010,3,13,6,0,51.0,0.043,28.842,94.242,,,
2010,3,13,6,30,28.0,0.036,28.842,94.242,,,
2010,3,13,7,0,25.0,0.076,28.842,94.242,,,
2010,3,13,7,30,36.0,0.066,28.842,94.242,,,
2010,3,13,8,0,72.0,0.106,28.842,94.242,,,
